,Order ID,Customer ID,Product ID,Order Date,Ship Date,Ship Mode
0,CA-2016-152156,CG-12520,FUR-BO-10001798,11/8/2016,11/11/2016,Second Class
1,CA-2016-152156,CG-12520,FUR-CH-10000454,11/8/2016,11/11/2016,Second Class
2,CA-2016-138688,DV-13045,OFF-LA-10000240,6/12/2016,6/16/2016,Second Class
3,US-2015-108966,SO-20335,FUR-TA-10000577,10/11/2015,10/18/2015,Standard Class
4,US-2015-108966,SO-20335,OFF-ST-10000760,10/11/2015,10/18/2015,Standard Class
5,CA-2014-115812,BH-11710,FUR-FU-10001487,6/9/2014,6/14/2014,Standard Class
6,CA-2014-115812,BH-11710,OFF-AR-10002833,6/9/2014,6/14/2014,Standard Class
7,CA-2014-115812,BH-11710,TEC-PH-10002275,6/9/2014,6/14/2014,Standard Class
8,CA-2014-115812,BH-11710,OFF-BI-10003910,6/9/2014,6/14/2014,Standard Class
9,CA-2014-115812,BH-11710,OFF-AP-10002892,6/9/2014,6/14/2014,Standard Class
10,CA-2014-115812,BH-11710,FUR-TA-10001539,6/9/2014,6/14/2014,Standard Class
11,CA-2014-115812,BH-11710,TEC-PH-10002033,6/9/2014,6/14/2014,Standard Class
12,CA-2017-114412,AA-10480,OFF-PA-10002365,4/15/2017,4/20/2017,Standard Class
13,CA-2016-161389,IM-15070,OFF-BI-10003656,12/5/2016,12/10/2016,Standard Class
14,US-2015-118983,HP-14815,OFF-AP-10002311,11/22/2015,11/26/2015,Standard Class
15,US-2015-118983,HP-14815,OFF-BI-10000756,11/22/2015,11/26/2015,Standard Class
16,CA-2014-105893,PK-19075,OFF-ST-10004186,11/11/2014,11/18/2014,Standard Class
17,CA-2014-167164,AG-10270,OFF-ST-10000107,5/13/2014,5/15/2014,Second Class
18,CA-2014-143336,ZD-21925,OFF-AR-10003056,8/27/2014,9/1/2014,Second Class
19,CA-2014-143336,ZD-21925,TEC-PH-10001949,8/27/2014,9/1/2014,Second Class
20,CA-2014-143336,ZD-21925,OFF-BI-10002215,8/27/2014,9/1/2014,Second Class
21,CA-2016-137330,KB-16585,OFF-AR-10000246,12/9/2016,12/13/2016,Standard Class
22,CA-2016-137330,KB-16585,OFF-AP-10001492,12/9/2016,12/13/2016,Standard Class
23,US-2017-156909,SF-20065,FUR-CH-10002774,7/16/2017,7/18/2017,Second Class
24,CA-2015-106320,EB-13870,FUR-TA-10000577,9/25/2015,9/30/2015,Standard Class
25,CA-2016-121755,EH-13945,OFF-BI-10001634,1/16/2016,1/20/2016,Second Class
26,CA-2016-121755,EH-13945,TEC-AC-10003027,1/16/2016,1/20/2016,Second Class
27,US-2015-150630,TB-21520,FUR-BO-10004834,9/17/2015,9/21/2015,Standard Class
28,US-2015-150630,TB-21520,OFF-BI-10000474,9/17/2015,9/21/2015,Standard Class
29,US-2015-150630,TB-21520,FUR-FU-10004848,9/17/2015,9/21/2015,Standard Class
30,US-2015-150630,TB-21520,OFF-EN-10001509,9/17/2015,9/21/2015,Standard Class
31,US-2015-150630,TB-21520,OFF-AR-10004042,9/17/2015,9/21/2015,Standard Class
32,US-2015-150630,TB-21520,OFF-BI-10001525,9/17/2015,9/21/2015,Standard Class
33,US-2015-150630,TB-21520,OFF-AR-10001683,9/17/2015,9/21/2015,Standard Class
34,CA-2017-107727,MA-17560,OFF-PA-10000249,10/19/2017,10/23/2017,Second Class
35,CA-2016-117590,GH-14485,TEC-PH-10004977,12/8/2016,12/10/2016,First Class
36,CA-2016-117590,GH-14485,FUR-FU-10003664,12/8/2016,12/10/2016,First Class
37,CA-2015-117415,SN-20710,OFF-EN-10002986,12/27/2015,12/31/2015,Standard Class
38,CA-2015-117415,SN-20710,FUR-BO-10002545,12/27/2015,12/31/2015,Standard Class
39,CA-2015-117415,SN-20710,FUR-CH-10004218,12/27/2015,12/31/2015,Standard Class
40,CA-2015-117415,SN-20710,TEC-PH-10000486,12/27/2015,12/31/2015,Standard Class
41,CA-2017-120999,LC-16930,TEC-PH-10004093,9/10/2017,9/15/2017,Standard Class
42,CA-2016-101343,RA-19885,OFF-ST-10003479,7/17/2016,7/22/2016,Standard Class
43,CA-2017-139619,ES-14080,OFF-ST-10003282,9/19/2017,9/23/2017,Standard Class
44,CA-2016-118255,ON-18715,TEC-AC-10000171,3/11/2016,3/13/2016,First Class
45,CA-2016-118255,ON-18715,OFF-BI-10003291,3/11/2016,3/13/2016,First Class
46,CA-2014-146703,PO-18865,OFF-ST-10001713,10/20/2014,10/25/2014,Second Class
47,CA-2016-169194,LH-16900,TEC-AC-10002167,6/20/2016,6/25/2016,Standard Class
48,CA-2016-169194,LH-16900,TEC-PH-10003988,6/20/2016,6/25/2016,Standard Class
49,CA-2015-115742,DP-13000,OFF-BI-10004410,4/18/2015,4/22/2015,Standard Class
50,CA-2015-115742,DP-13000,OFF-LA-10002762,4/18/2015,4/22/2015,Standard Class
51,CA-2015-115742,DP-13000,FUR-FU-10001706,4/18/2015,4/22/2015,Standard Class
52,CA-2015-115742,DP-13000,FUR-CH-10003061,4/18/2015,4/22/2015,Standard Class
53,CA-2016-105816,JM-15265,OFF-FA-10000304,12/11/2016,12/17/2016,Standard Class
54,CA-2016-105816,JM-15265,TEC-PH-10002447,12/11/2016,12/17/2016,Standard Class
55,CA-2016-111682,TB-21055,OFF-ST-10000604,6/17/2016,6/18/2016,First Class
56,CA-2016-111682,TB-21055,OFF-PA-10001569,6/17/2016,6/18/2016,First Class
57,CA-2016-111682,TB-21055,FUR-CH-10003968,6/17/2016,6/18/2016,First Class
58,CA-2016-111682,TB-21055,OFF-PA-10000587,6/17/2016,6/18/2016,First Class
59,CA-2016-111682,TB-21055,TEC-AC-10002167,6/17/2016,6/18/2016,First Class
60,CA-2016-111682,TB-21055,OFF-BI-10001460,6/17/2016,6/18/2016,First Class
61,CA-2016-111682,TB-21055,OFF-AR-10001868,6/17/2016,6/18/2016,First Class
62,CA-2015-135545,KM-16720,TEC-AC-10004633,11/24/2015,11/30/2015,Standard Class
63,CA-2015-135545,KM-16720,OFF-BI-10001078,11/24/2015,11/30/2015,Standard Class
64,CA-2015-135545,KM-16720,OFF-PA-10003892,11/24/2015,11/30/2015,Standard Class
65,CA-2015-135545,KM-16720,FUR-FU-10000397,11/24/2015,11/30/2015,Standard Class
66,US-2015-164175,PS-18970,FUR-CH-10001146,4/30/2015,5/5/2015,Standard Class
67,CA-2014-106376,BS-11590,OFF-AR-10002671,12/5/2014,12/10/2014,Standard Class
68,CA-2014-106376,BS-11590,TEC-PH-10002726,12/5/2014,12/10/2014,Standard Class
69,CA-2016-119823,KD-16270,OFF-PA-10000482,6/4/2016,6/6/2016,First Class
70,CA-2016-106075,HM-14980,OFF-BI-10004654,9/18/2016,9/23/2016,Standard Class
71,CA-2017-114440,TB-21520,OFF-PA-10004675,9/14/2017,9/17/2017,Second Class
72,US-2015-134026,JE-15745,FUR-CH-10000513,4/26/2015,5/2/2015,Standard Class
73,US-2015-134026,JE-15745,FUR-FU-10003708,4/26/2015,5/2/2015,Standard Class
74,US-2015-134026,JE-15745,OFF-ST-10004123,4/26/2015,5/2/2015,Standard Class
75,US-2017-118038,KB-16600,OFF-BI-10004182,12/9/2017,12/11/2017,First Class
76,US-2017-118038,KB-16600,FUR-FU-10000260,12/9/2017,12/11/2017,First Class
77,US-2017-118038,KB-16600,OFF-ST-10000615,12/9/2017,12/11/2017,First Class
78,US-2014-147606,JE-15745,FUR-FU-10003194,11/26/2014,12/1/2014,Second Class
79,CA-2016-127208,SC-20770,OFF-AP-10002118,6/12/2016,6/15/2016,First Class
80,CA-2016-127208,SC-20770,OFF-BI-10002309,6/12/2016,6/15/2016,First Class
81,CA-2014-139451,DN-13690,OFF-AR-10002053,10/12/2014,10/16/2014,Standard Class
82,CA-2014-139451,DN-13690,OFF-ST-10002370,10/12/2014,10/16/2014,Standard Class
83,CA-2015-149734,JC-16105,OFF-EN-10000927,9/3/2015,9/8/2015,Standard Class
84,US-2017-119662,CS-12400,OFF-ST-10003656,11/13/2017,11/16/2017,First Class
85,CA-2017-140088,PO-18865,FUR-CH-10000863,5/28/2017,5/30/2017,Second Class
86,CA-2017-155558,PG-18895,TEC-AC-10001998,10/26/2017,11/2/2017,Standard Class
87,CA-2017-155558,PG-18895,OFF-LA-10000134,10/26/2017,11/2/2017,Standard Class
88,CA-2016-159695,GM-14455,OFF-ST-10003442,4/5/2016,4/10/2016,Second Class
89,CA-2016-109806,JS-15685,OFF-AR-10004930,9/17/2016,9/22/2016,Standard Class
90,CA-2016-109806,JS-15685,TEC-PH-10004093,9/17/2016,9/22/2016,Standard Class
91,CA-2016-109806,JS-15685,OFF-PA-10000304,9/17/2016,9/22/2016,Standard Class
92,CA-2015-149587,KB-16315,OFF-PA-10003177,1/31/2015,2/5/2015,Second Class
93,CA-2015-149587,KB-16315,FUR-FU-10003799,1/31/2015,2/5/2015,Second Class
94,CA-2015-149587,KB-16315,OFF-BI-10002852,1/31/2015,2/5/2015,Second Class
95,US-2017-109484,RB-19705,OFF-BI-10004738,11/6/2017,11/12/2017,Standard Class
96,CA-2017-161018,PN-18775,FUR-FU-10000629,11/9/2017,11/11/2017,Second Class
97,CA-2017-157833,KD-16345,OFF-BI-10001721,6/17/2017,6/20/2017,First Class
98,CA-2016-149223,ER-13855,OFF-AP-10000358,9/6/2016,9/11/2016,Standard Class
99,CA-2016-158568,RB-19465,OFF-PA-10003256,8/29/2016,9/2/2016,Standard Class
100,CA-2016-158568,RB-19465,TEC-AC-10001767,8/29/2016,9/2/2016,Standard Class
101,CA-2016-158568,RB-19465,OFF-BI-10002609,8/29/2016,9/2/2016,Standard Class
102,CA-2016-129903,GZ-14470,OFF-PA-10004040,12/1/2016,12/4/2016,Second Class
103,US-2015-156867,LC-16870,TEC-AC-10001552,11/13/2015,11/17/2015,Standard Class
104,US-2015-156867,LC-16870,FUR-FU-10004006,11/13/2015,11/17/2015,Standard Class
105,US-2015-156867,LC-16870,OFF-BI-10002794,11/13/2015,11/17/2015,Standard Class
106,CA-2017-119004,JM-15250,TEC-AC-10003499,11/23/2017,11/28/2017,Standard Class
107,CA-2017-119004,JM-15250,TEC-PH-10002844,11/23/2017,11/28/2017,Standard Class
108,CA-2017-119004,JM-15250,OFF-AR-10000390,11/23/2017,11/28/2017,Standard Class
109,CA-2015-129476,PA-19060,TEC-AC-10000844,10/15/2015,10/20/2015,Standard Class
110,CA-2017-146780,CV-12805,FUR-FU-10001934,12/25/2017,12/30/2017,Standard Class
111,CA-2016-128867,CL-12565,OFF-AR-10000380,11/3/2016,11/10/2016,Standard Class
112,CA-2016-128867,CL-12565,OFF-BI-10003981,11/3/2016,11/10/2016,Standard Class
113,CA-2014-115259,RC-19960,OFF-FA-10000621,8/25/2014,8/27/2014,Second Class
114,CA-2014-115259,RC-19960,OFF-EN-10002600,8/25/2014,8/27/2014,Second Class
115,CA-2014-115259,RC-19960,OFF-PA-10004965,8/25/2014,8/27/2014,Second Class
116,CA-2014-115259,RC-19960,OFF-EN-10002504,8/25/2014,8/27/2014,Second Class
117,CA-2015-110457,DK-13090,FUR-TA-10001768,3/2/2015,3/6/2015,Standard Class
118,US-2015-136476,GG-14650,OFF-BI-10003650,4/5/2015,4/10/2015,Standard Class
119,CA-2016-103730,SC-20725,FUR-FU-10002157,6/12/2016,6/15/2016,First Class
120,CA-2016-103730,SC-20725,OFF-BI-10003910,6/12/2016,6/15/2016,First Class
121,CA-2016-103730,SC-20725,OFF-ST-10000777,6/12/2016,6/15/2016,First Class
122,CA-2016-103730,SC-20725,OFF-EN-10002500,6/12/2016,6/15/2016,First Class
123,CA-2016-103730,SC-20725,TEC-PH-10003875,6/12/2016,6/15/2016,First Class
124,US-2014-152030,AD-10180,FUR-CH-10004063,12/26/2014,12/28/2014,Second Class
125,US-2014-134614,PF-19165,FUR-TA-10004534,9/20/2014,9/25/2014,Standard Class
126,US-2017-107272,TS-21610,OFF-BI-10003274,11/5/2017,11/12/2017,Standard Class
127,US-2017-107272,TS-21610,OFF-ST-10002974,11/5/2017,11/12/2017,Standard Class
128,US-2016-125969,LS-16975,FUR-CH-10001146,11/6/2016,11/10/2016,Second Class
129,US-2016-125969,LS-16975,FUR-FU-10003773,11/6/2016,11/10/2016,Second Class
130,US-2017-164147,DW-13585,TEC-PH-10002293,2/2/2017,2/5/2017,First Class
131,US-2017-164147,DW-13585,OFF-PA-10002377,2/2/2017,2/5/2017,First Class
132,US-2017-164147,DW-13585,OFF-FA-10002780,2/2/2017,2/5/2017,First Class
133,CA-2016-145583,LC-16885,OFF-PA-10001804,10/13/2016,10/19/2016,Standard Class
134,CA-2016-145583,LC-16885,OFF-PA-10001736,10/13/2016,10/19/2016,Standard Class
135,CA-2016-145583,LC-16885,OFF-AR-10001149,10/13/2016,10/19/2016,Standard Class
136,CA-2016-145583,LC-16885,OFF-FA-10002988,10/13/2016,10/19/2016,Standard Class
137,CA-2016-145583,LC-16885,OFF-BI-10004781,10/13/2016,10/19/2016,Standard Class
138,CA-2016-145583,LC-16885,OFF-SU-10001218,10/13/2016,10/19/2016,Standard Class
139,CA-2016-145583,LC-16885,FUR-FU-10001706,10/13/2016,10/19/2016,Standard Class
140,CA-2016-110366,JD-15895,FUR-FU-10004848,9/5/2016,9/7/2016,Second Class
141,CA-2017-106180,SH-19975,OFF-AR-10000940,9/18/2017,9/23/2017,Standard Class
142,CA-2017-106180,SH-19975,OFF-EN-10004030,9/18/2017,9/23/2017,Standard Class
143,CA-2017-106180,SH-19975,OFF-PA-10004327,9/18/2017,9/23/2017,Standard Class
144,CA-2017-155376,SG-20080,OFF-AP-10001058,12/22/2017,12/27/2017,Standard Class
145,CA-2015-110744,HA-14920,OFF-ST-10003656,9/7/2015,9/12/2015,Standard Class
146,CA-2014-110072,MG-17680,FUR-FU-10000521,10/22/2014,10/28/2014,Standard Class
147,CA-2016-114489,JE-16165,TEC-PH-10000215,12/5/2016,12/9/2016,Standard Class
148,CA-2016-114489,JE-16165,TEC-PH-10001448,12/5/2016,12/9/2016,Standard Class
149,CA-2016-114489,JE-16165,FUR-CH-10000454,12/5/2016,12/9/2016,Standard Class
150,CA-2016-114489,JE-16165,OFF-BI-10002735,12/5/2016,12/9/2016,Standard Class
151,CA-2016-158834,TW-21025,OFF-AP-10000326,3/13/2016,3/16/2016,First Class
