,Customer ID,Order ID,Product ID,Sales,Quantity,Discount,Profit
0,CG-12520,CA-2016-152156,FUR-BO-10001798,261.96,2,0.0,41.9136
1,CG-12520,CA-2016-152156,FUR-CH-10000454,731.94,3,0.0,219.582
2,DV-13045,CA-2016-138688,OFF-LA-10000240,14.62,2,0.0,6.8714
3,SO-20335,US-2015-108966,FUR-TA-10000577,957.5775,5,0.45,-383.031
4,SO-20335,US-2015-108966,OFF-ST-10000760,22.368,2,0.2,2.5164
5,BH-11710,CA-2014-115812,FUR-FU-10001487,48.86,7,0.0,14.1694
6,BH-11710,CA-2014-115812,OFF-AR-10002833,7.28,4,0.0,1.9656
7,BH-11710,CA-2014-115812,TEC-PH-10002275,907.152,6,0.2,90.7152
8,BH-11710,CA-2014-115812,OFF-BI-10003910,18.504,3,0.2,5.7825
9,BH-11710,CA-2014-115812,OFF-AP-10002892,114.9,5,0.0,34.47
10,BH-11710,CA-2014-115812,FUR-TA-10001539,1706.184,9,0.2,85.3092
11,BH-11710,CA-2014-115812,TEC-PH-10002033,911.424,4,0.2,68.3568
12,AA-10480,CA-2017-114412,OFF-PA-10002365,15.552,3,0.2,5.4432
13,IM-15070,CA-2016-161389,OFF-BI-10003656,407.976,3,0.2,132.5922
14,HP-14815,US-2015-118983,OFF-AP-10002311,68.81,5,0.8,-123.858
15,HP-14815,US-2015-118983,OFF-BI-10000756,2.544,3,0.8,-3.816
16,PK-19075,CA-2014-105893,OFF-ST-10004186,665.88,6,0.0,13.3176
17,AG-10270,CA-2014-167164,OFF-ST-10000107,55.5,2,0.0,9.99
18,ZD-21925,CA-2014-143336,OFF-AR-10003056,8.56,2,0.0,2.4824
19,ZD-21925,CA-2014-143336,TEC-PH-10001949,213.48,3,0.2,16.011
20,ZD-21925,CA-2014-143336,OFF-BI-10002215,22.72,4,0.2,7.384
21,KB-16585,CA-2016-137330,OFF-AR-10000246,19.46,7,0.0,5.0596
22,KB-16585,CA-2016-137330,OFF-AP-10001492,60.34,7,0.0,15.6884
23,SF-20065,US-2017-156909,FUR-CH-10002774,71.372,2,0.3,-1.0196
24,EB-13870,CA-2015-106320,FUR-TA-10000577,1044.63,3,0.0,240.2649
25,EH-13945,CA-2016-121755,OFF-BI-10001634,11.648,2,0.2,4.2224
26,EH-13945,CA-2016-121755,TEC-AC-10003027,90.57,3,0.0,11.7741
27,TB-21520,US-2015-150630,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
28,TB-21520,US-2015-150630,OFF-BI-10000474,9.618,2,0.7,-7.0532
29,TB-21520,US-2015-150630,FUR-FU-10004848,124.2,3,0.2,15.525
30,TB-21520,US-2015-150630,OFF-EN-10001509,3.264,2,0.2,1.1016
31,TB-21520,US-2015-150630,OFF-AR-10004042,86.304,6,0.2,9.7092
32,TB-21520,US-2015-150630,OFF-BI-10001525,6.858,6,0.7,-5.715
33,TB-21520,US-2015-150630,OFF-AR-10001683,15.76,2,0.2,3.546
34,MA-17560,CA-2017-107727,OFF-PA-10000249,29.472,3,0.2,9.9468
35,GH-14485,CA-2016-117590,TEC-PH-10004977,1097.544,7,0.2,123.4737
36,GH-14485,CA-2016-117590,FUR-FU-10003664,190.92,5,0.6,-147.963
37,SN-20710,CA-2015-117415,OFF-EN-10002986,113.328,9,0.2,35.415
38,SN-20710,CA-2015-117415,FUR-BO-10002545,532.3992,3,0.32,-46.9764
39,SN-20710,CA-2015-117415,FUR-CH-10004218,212.058,3,0.3,-15.147
40,SN-20710,CA-2015-117415,TEC-PH-10000486,371.168,4,0.2,41.7564
41,LC-16930,CA-2017-120999,TEC-PH-10004093,147.168,4,0.2,16.5564
42,RA-19885,CA-2016-101343,OFF-ST-10003479,77.88,2,0.0,3.894
43,ES-14080,CA-2017-139619,OFF-ST-10003282,95.616,2,0.2,9.5616
44,ON-18715,CA-2016-118255,TEC-AC-10000171,45.98,2,0.0,19.7714
45,ON-18715,CA-2016-118255,OFF-BI-10003291,17.46,2,0.0,8.2062
46,PO-18865,CA-2014-146703,OFF-ST-10001713,211.96,4,0.0,8.4784
47,LH-16900,CA-2016-169194,TEC-AC-10002167,45.0,3,0.0,4.95
48,LH-16900,CA-2016-169194,TEC-PH-10003988,21.8,2,0.0,6.104
49,DP-13000,CA-2015-115742,OFF-BI-10004410,38.22,6,0.0,17.9634
50,DP-13000,CA-2015-115742,OFF-LA-10002762,75.18,6,0.0,35.3346
51,DP-13000,CA-2015-115742,FUR-FU-10001706,6.16,2,0.0,2.9568
52,DP-13000,CA-2015-115742,FUR-CH-10003061,89.99,1,0.0,17.0981
53,JM-15265,CA-2016-105816,OFF-FA-10000304,15.26,7,0.0,6.2566
54,JM-15265,CA-2016-105816,TEC-PH-10002447,1029.95,5,0.0,298.6855
55,TB-21055,CA-2016-111682,OFF-ST-10000604,208.56,6,0.0,52.14
56,TB-21055,CA-2016-111682,OFF-PA-10001569,32.4,5,0.0,15.552
57,TB-21055,CA-2016-111682,FUR-CH-10003968,319.41,5,0.1,7.098
58,TB-21055,CA-2016-111682,OFF-PA-10000587,14.56,2,0.0,6.9888
59,TB-21055,CA-2016-111682,TEC-AC-10002167,30.0,2,0.0,3.3
60,TB-21055,CA-2016-111682,OFF-BI-10001460,48.48,4,0.2,16.362
61,TB-21055,CA-2016-111682,OFF-AR-10001868,1.68,1,0.0,0.84
62,KM-16720,CA-2015-135545,TEC-AC-10004633,13.98,2,0.0,6.1512
63,KM-16720,CA-2015-135545,OFF-BI-10001078,25.824,6,0.2,9.3612
64,KM-16720,CA-2015-135545,OFF-PA-10003892,146.73,3,0.0,68.9631
65,KM-16720,CA-2015-135545,FUR-FU-10000397,79.76,4,0.0,22.3328
66,PS-18970,US-2015-164175,FUR-CH-10001146,213.115,5,0.3,-15.2225
67,BS-11590,CA-2014-106376,OFF-AR-10002671,1113.024,8,0.2,111.3024
68,BS-11590,CA-2014-106376,TEC-PH-10002726,167.968,4,0.2,62.988
69,KD-16270,CA-2016-119823,OFF-PA-10000482,75.88,2,0.0,35.6636
70,HM-14980,CA-2016-106075,OFF-BI-10004654,4.616,1,0.2,1.731
71,TB-21520,CA-2017-114440,OFF-PA-10004675,19.05,3,0.0,8.763
72,JE-15745,US-2015-134026,FUR-CH-10000513,831.936,8,0.2,-114.3912
73,JE-15745,US-2015-134026,FUR-FU-10003708,97.04,2,0.2,1.213
74,JE-15745,US-2015-134026,OFF-ST-10004123,72.784,1,0.2,-18.196
75,KB-16600,US-2017-118038,OFF-BI-10004182,1.248,3,0.8,-1.9344
76,KB-16600,US-2017-118038,FUR-FU-10000260,9.708,3,0.6,-5.8248
77,KB-16600,US-2017-118038,OFF-ST-10000615,27.24,3,0.2,2.724
78,JE-15745,US-2014-147606,FUR-FU-10003194,19.3,5,0.6,-14.475
79,SC-20770,CA-2016-127208,OFF-AP-10002118,208.16,1,0.0,56.2032
80,SC-20770,CA-2016-127208,OFF-BI-10002309,16.74,3,0.0,8.0352
81,DN-13690,CA-2014-139451,OFF-AR-10002053,14.9,5,0.0,4.172
82,DN-13690,CA-2014-139451,OFF-ST-10002370,21.39,1,0.0,6.2031
83,JC-16105,CA-2015-149734,OFF-EN-10000927,200.984,7,0.2,62.8075
84,CS-12400,US-2017-119662,OFF-ST-10003656,230.376,3,0.2,-48.9549
85,PO-18865,CA-2017-140088,FUR-CH-10000863,301.96,2,0.0,33.2156
86,PG-18895,CA-2017-155558,TEC-AC-10001998,19.99,1,0.0,6.7966
87,PG-18895,CA-2017-155558,OFF-LA-10000134,6.16,2,0.0,2.9568
88,GM-14455,CA-2016-159695,OFF-ST-10003442,158.368,7,0.2,13.8572
89,JS-15685,CA-2016-109806,OFF-AR-10004930,20.1,3,0.0,6.633
90,JS-15685,CA-2016-109806,TEC-PH-10004093,73.584,2,0.2,8.2782
91,JS-15685,CA-2016-109806,OFF-PA-10000304,6.48,1,0.0,3.1104
92,KB-16315,CA-2015-149587,OFF-PA-10003177,12.96,2,0.0,6.2208
93,KB-16315,CA-2015-149587,FUR-FU-10003799,53.34,3,0.0,16.5354
94,KB-16315,CA-2015-149587,OFF-BI-10002852,32.96,2,0.0,16.1504
95,RB-19705,US-2017-109484,OFF-BI-10004738,5.682,1,0.7,-3.788
96,PN-18775,CA-2017-161018,FUR-FU-10000629,96.53,7,0.0,40.5426
97,KD-16345,CA-2017-157833,OFF-BI-10001721,51.312,3,0.2,17.9592
98,ER-13855,CA-2016-149223,OFF-AP-10000358,77.88,6,0.0,22.5852
99,RB-19465,CA-2016-158568,OFF-PA-10003256,64.624,7,0.2,22.6184
100,RB-19465,CA-2016-158568,TEC-AC-10001767,95.976,3,0.2,-10.7973
101,RB-19465,CA-2016-158568,OFF-BI-10002609,1.788,3,0.8,-3.0396
102,GZ-14470,CA-2016-129903,OFF-PA-10004040,23.92,4,0.0,11.7208
103,LC-16870,US-2015-156867,TEC-AC-10001552,238.896,6,0.2,-26.8758
104,LC-16870,US-2015-156867,FUR-FU-10004006,102.36,3,0.2,-3.8385
105,LC-16870,US-2015-156867,OFF-BI-10002794,36.882,3,0.7,-25.8174
106,JM-15250,CA-2017-119004,TEC-AC-10003499,74.112,8,0.2,17.6016
107,JM-15250,CA-2017-119004,TEC-PH-10002844,27.992,1,0.2,2.0994
108,JM-15250,CA-2017-119004,OFF-AR-10000390,3.304,1,0.2,1.0738
109,PA-19060,CA-2015-129476,TEC-AC-10000844,339.96,5,0.2,67.992
110,CV-12805,CA-2017-146780,FUR-FU-10001934,41.96,2,0.0,10.9096
111,CL-12565,CA-2016-128867,OFF-AR-10000380,75.96,2,0.0,22.788
112,CL-12565,CA-2016-128867,OFF-BI-10003981,27.24,6,0.0,13.3476
113,RC-19960,CA-2014-115259,OFF-FA-10000621,40.096,14,0.2,14.5348
114,RC-19960,CA-2014-115259,OFF-EN-10002600,4.72,2,0.2,1.652
115,RC-19960,CA-2014-115259,OFF-PA-10004965,23.976,3,0.2,7.4925
116,RC-19960,CA-2014-115259,OFF-EN-10002504,130.464,6,0.2,44.0316
117,DK-13090,CA-2015-110457,FUR-TA-10001768,787.53,3,0.0,165.3813
118,GG-14650,US-2015-136476,OFF-BI-10003650,157.794,1,0.7,-115.7156
119,SC-20725,CA-2016-103730,FUR-FU-10002157,47.04,3,0.0,18.3456
120,SC-20725,CA-2016-103730,OFF-BI-10003910,30.84,4,0.0,13.878
121,SC-20725,CA-2016-103730,OFF-ST-10000777,226.56,6,0.0,63.4368
122,SC-20725,CA-2016-103730,OFF-EN-10002500,115.02,9,0.0,51.759
123,SC-20725,CA-2016-103730,TEC-PH-10003875,68.04,7,0.0,19.7316
124,AD-10180,US-2014-152030,FUR-CH-10004063,600.558,3,0.3,-8.5794
125,PF-19165,US-2014-134614,FUR-TA-10004534,617.7,6,0.5,-407.682
126,TS-21610,US-2017-107272,OFF-BI-10003274,2.388,2,0.7,-1.8308
127,TS-21610,US-2017-107272,OFF-ST-10002974,243.992,7,0.2,30.499
128,LS-16975,US-2016-125969,FUR-CH-10001146,81.424,2,0.2,-9.1602
129,LS-16975,US-2016-125969,FUR-FU-10003773,238.56,3,0.0,26.2416
130,DW-13585,US-2017-164147,TEC-PH-10002293,59.97,5,0.4,-11.994
131,DW-13585,US-2017-164147,OFF-PA-10002377,78.304,2,0.2,29.364
132,DW-13585,US-2017-164147,OFF-FA-10002780,21.456,9,0.2,6.9732
133,LC-16885,CA-2016-145583,OFF-PA-10001804,20.04,3,0.0,9.6192
